"TIME","GEO","INDIC_DE","UNIT","Value","Flag and Footnotes"
"2017","Latvia","Infant mortality rate","Rate","4.1",""
"2017","Lithuania","Infant mortality rate","Rate","3.0",""
"2017","Luxembourg","Infant mortality rate","Rate","3.2",""
"2017","Hungary","Infant mortality rate","Rate","3.5",""
"2017","Malta","Infant mortality rate","Rate","6.7",""
"2017","Netherlands","Infant mortality rate","Rate","3.6",""
"2017","Austria","Infant mortality rate","Rate","2.9",""
"2017","Poland","Infant mortality rate","Rate","4.0",""
"2017","Portugal","Infant mortality rate","Rate","2.7",""
"2017","Romania","Infant mortality rate","Rate","6.5",""
"2017","Slovenia","Infant mortality rate","Rate","2.1",""
"2017","Slovakia","Infant mortality rate","Rate","4.5",""
"2017","Finland","Infant mortality rate","Rate","2.0",""
"2017","Sweden","Infant mortality rate","Rate","2.4",""
"2017","Iceland","Infant mortality rate","Rate","2.7",""
"2017","Liechtenstein","Infant mortality rate","Rate","0.0",""
"2017","Norway","Infant mortality rate","Rate","2.3",""
"2017","Switzerland","Infant mortality rate","Rate","3.5",""
"2017","United Kingdom","Infant mortality rate","Rate","3.9",""
"2017","Montenegro","Infant mortality rate","Rate","1.3",""
"2018","Belgium","Infant mortality rate","Rate","3.8",""
"2018","Bulgaria","Infant mortality rate","Rate","5.8",""
"2018","Czechia","Infant mortality rate","Rate","2.6",""
"2018","Denmark","Infant mortality rate","Rate","3.7",""
"2018","Germany (until 1990 former territory of the FRG)","Infant mortality rate","Rate","3.2",""
"2018","Estonia","Infant mortality rate","Rate","1.6",""
"2018","Ireland","Infant mortality rate","Rate","2.9",""
"2018","Greece","Infant mortality rate","Rate","3.5",""
"2018","Spain","Infant mortality rate","Rate","2.7",""
"2018","France","Infant mortality rate","Rate","3.8",""
"2018","Croatia","Infant mortality rate","Rate","4.2",""
"2018","Italy","Infant mortality rate","Rate","2.8",""
"2018","Cyprus","Infant mortality rate","Rate","2.4",""
"2018","Latvia","Infant mortality rate","Rate","3.2",""
"2018","Lithuania","Infant mortality rate","Rate","3.4",""
"2018","Luxembourg","Infant mortality rate","Rate","4.3",""
"2018","Hungary","Infant mortality rate","Rate","3.3",""
"2018","Malta","Infant mortality rate","Rate","5.6",""
"2018","Netherlands","Infant mortality rate","Rate","3.5",""
"2018","Austria","Infant mortality rate","Rate","2.7",""
"2018","Poland","Infant mortality rate","Rate","3.8",""
"2018","Portugal","Infant mortality rate","Rate","3.3",""
"2018","Romania","Infant mortality rate","Rate","6.0",""
"2018","Slovenia","Infant mortality rate","Rate","1.7",""
"2018","Slovakia","Infant mortality rate","Rate","5.0",""
"2018","Finland","Infant mortality rate","Rate","2.1",""
"2018","Sweden","Infant mortality rate","Rate","2.0",""
"2018","Iceland","Infant mortality rate","Rate","1.7",""
"2018","Liechtenstein","Infant mortality rate","Rate","0.0",""
"2018","Norway","Infant mortality rate","Rate","2.3",""
"2018","Switzerland","Infant mortality rate","Rate","3.3",""
"2018","United Kingdom","Infant mortality rate","Rate","3.9",""
"2018","Montenegro","Infant mortality rate","Rate","1.7",""
"2019","Belgium","Infant mortality rate","Rate","3.7",""
"2019","Bulgaria","Infant mortality rate","Rate","5.6",""
"2019","Czechia","Infant mortality rate","Rate","2.6",""
"2019","Denmark","Infant mortality rate","Rate","3.0",""
"2019","Germany (until 1990 former territory of the FRG)","Infant mortality rate","Rate","3.2",""
"2019","Estonia","Infant mortality rate","Rate","1.6",""
"2019","Ireland","Infant mortality rate","Rate","2.8",""
"2019","Greece","Infant mortality rate","Rate","3.7",""
"2019","Spain","Infant mortality rate","Rate","2.6",""
"2019","France","Infant mortality rate","Rate","3.8",""
"2019","Croatia","Infant mortality rate","Rate","4.0",""
"2019","Italy","Infant mortality rate","Rate","2.4",""
"2019","Cyprus","Infant mortality rate","Rate","2.6",""
"2019","Latvia","Infant mortality rate","Rate","3.4",""
"2019","Lithuania","Infant mortality rate","Rate","3.3",""
"2019","Luxembourg","Infant mortality rate","Rate","4.7",""
"2019","Hungary","Infant mortality rate","Rate","3.6",""
