"TIME","GEO","ICCS","LEG_STAT","SEX","UNIT","Value","Flag and Footnotes"
"2010","Montenegro","Intentional homicide","Convicted person","Total","Number","4",""
"2010","Montenegro","Rape","Convicted person","Total","Number","2",""
"2010","Montenegro","Sexual assault","Convicted person","Total","Number","12",""
"2011","Belgium","Intentional homicide","Convicted person","Total","Number","246",""
"2011","Belgium","Rape","Convicted person","Total","Number","589",""
"2011","Belgium","Sexual assault","Convicted person","Total","Number",":",""
"2011","Bulgaria","Intentional homicide","Convicted person","Total","Number","114",""
"2011","Bulgaria","Rape","Convicted person","Total","Number","87",""
"2011","Bulgaria","Sexual assault","Convicted person","Total","Number","129",""
"2011","Czechia","Intentional homicide","Convicted person","Total","Number","131",""
"2011","Czechia","Rape","Convicted person","Total","Number","181",""
"2011","Czechia","Sexual assault","Convicted person","Total","Number","311",""
"2011","Denmark","Intentional homicide","Convicted person","Total","Number","26",""
"2011","Denmark","Rape","Convicted person","Total","Number","210",""
"2011","Denmark","Sexual assault","Convicted person","Total","Number","204",""
"2011","Germany (until 1990 former territory of the FRG)","Intentional homicide","Convicted person","Total","Number","325",""
"2011","Germany (until 1990 former territory of the FRG)","Rape","Convicted person","Total","Number","747",""
"2011","Germany (until 1990 former territory of the FRG)","Sexual assault","Convicted person","Total","Number","6,120",""
"2011","Estonia","Intentional homicide","Convicted person","Total","Number","40",""
"2011","Estonia","Rape","Convicted person","Total","Number","18",""
"2011","Estonia","Sexual assault","Convicted person","Total","Number","29",""
"2011","Ireland","Intentional homicide","Convicted person","Total","Number","20",""
"2011","Ireland","Rape","Convicted person","Total","Number","35",""
"2011","Ireland","Sexual assault","Convicted person","Total","Number","104",""
"2011","Greece","Intentional homicide","Convicted person","Total","Number",":",""
"2011","Greece","Rape","Convicted person","Total","Number",":",""
"2011","Greece","Sexual assault","Convicted person","Total","Number",":",""
"2011","Spain","Intentional homicide","Convicted person","Total","Number",":",""
"2011","Spain","Rape","Convicted person","Total","Number",":",""
"2011","Spain","Sexual assault","Convicted person","Total","Number",":",""
"2011","France","Intentional homicide","Convicted person","Total","Number","511",""
"2011","France","Rape","Convicted person","Total","Number","1,258",""
"2011","France","Sexual assault","Convicted person","Total","Number","5,328",""
"2011","Croatia","Intentional homicide","Convicted person","Total","Number","46",""
"2011","Croatia","Rape","Convicted person","Total","Number","54",""
"2011","Croatia","Sexual assault","Convicted person","Total","Number","244",""
"2011","Italy","Intentional homicide","Convicted person","Total","Number","451",""
"2011","Italy","Rape","Convicted person","Total","Number","1,516",""
"2011","Italy","Sexual assault","Convicted person","Total","Number",":",""
"2011","Cyprus","Intentional homicide","Convicted person","Total","Number","2",""
"2011","Cyprus","Rape","Convicted person","Total","Number","13",""
"2011","Cyprus","Sexual assault","Convicted person","Total","Number","29",""
"2011","Latvia","Intentional homicide","Convicted person","Total","Number","63",""
"2011","Latvia","Rape","Convicted person","Total","Number","51",""
"2011","Latvia","Sexual assault","Convicted person","Total","Number","22",""
"2011","Lithuania","Intentional homicide","Convicted person","Total","Number","217",""
"2011","Lithuania","Rape","Convicted person","Total","Number","141",""
"2011","Lithuania","Sexual assault","Convicted person","Total","Number","181",""
"2011","Luxembourg","Intentional homicide","Convicted person","Total","Number",":",""
"2011","Luxembourg","Rape","Convicted person","Total","Number",":",""
"2011","Luxembourg","Sexual assault","Convicted person","Total","Number",":",""
"2011","Hungary","Intentional homicide","Convicted person","Total","Number","110",""
"2011","Hungary","Rape","Convicted person","Total","Number","79",""
"2011","Hungary","Sexual assault","Convicted person","Total","Number","243",""
"2011","Malta","Intentional homicide","Convicted person","Total","Number","3",""
"2011","Malta","Rape","Convicted person","Total","Number",":",""
"2011","Malta","Sexual assault","Convicted person","Total","Number",":",""
"2011","Netherlands","Intentional homicide","Convicted person","Total","Number",":",""
"2011","Netherlands","Rape","Convicted person","Total","Number","108",""
"2011","Netherlands","Sexual assault","Convicted person","Total","Number","941",""
"2011","Austria","Intentional homicide","Convicted person","Total","Number","29",""
"2011","Austria","Rape","Convicted person","Total","Number","188",""
"2011","Austria","Sexual assault","Convicted person","Total","Number","229",""
"2011","Poland","Intentional homicide","Convicted person","Total","Number","351",""
"2011","Poland","Rape","Convicted person","Total","Number","736",""
"2011","Poland","Sexual assault","Convicted person","Total","Number","221",""
"2011","Portugal","Intentional homicide","Convicted person","Total","Number","138",""
"2011","Portugal","Rape","Convicted person","Total","Number","88",""
"2011","Portugal","Sexual assault","Convicted person","Total","Number","330",""
"2011","Romania","Intentional homicide","Convicted person","Total","Number","986",""
"2011","Romania","Rape","Convicted person","Total","Number","483",""
"2011","Romania","Sexual assault","Convicted person","Total","Number","189",""
"2011","Slovenia","Intentional homicide","Convicted person","Total","Number","28",""
"2011","Slovenia","Rape","Convicted person","Total","Number","15",""
"2011","Slovenia","Sexual assault","Convicted person","Total","Number","72",""
"2011","Slovakia","Intentional homicide","Convicted person","Total","Number","43",""
"2011","Slovakia","Rape","Convicted person","Total","Number","31",""
"2011","Slovakia","Sexual assault","Convicted person","Total","Number","22",""
"2011","Finland","Intentional homicide","Convicted person","Total","Number","82",""
"2011","Finland","Rape","Convicted person","Total","Number","129",""
"2011","Finland","Sexual assault","Convicted person","Total","Number","377",""
"2011","Sweden","Intentional homicide","Convicted person","Total","Number","134",""
"2011","Sweden","Rape","Convicted person","Total","Number","328",""
"2011","Sweden","Sexual assault","Convicted person","Total","Number","589",""
"2011","Iceland","Intentional homicide","Convicted person","Total","Number",":",""
