"TIME","GEO","AGEDEF","AGE","UNIT","SEX","Value","Flag and Footnotes"
"2009","Ireland","Age reached during the year","Total","Number","Females","25,374",""
"2009","Greece","Age reached during the year","Total","Number","Total","58,613",""
"2009","Greece","Age reached during the year","Total","Number","Males","30,390",""
"2009","Greece","Age reached during the year","Total","Number","Females","28,223",""
"2009","Spain","Age reached during the year","Total","Number","Total","392,962",""
"2009","Spain","Age reached during the year","Total","Number","Males","192,287",""
"2009","Spain","Age reached during the year","Total","Number","Females","200,675",""
"2009","France","Age reached during the year","Total","Number","Total","296,970",""
"2009","France","Age reached during the year","Total","Number","Males","141,329",""
"2009","France","Age reached during the year","Total","Number","Females","155,641",""
"2009","Croatia","Age reached during the year","Total","Number","Total","13,213",""
"2009","Croatia","Age reached during the year","Total","Number","Males","7,813",""
"2009","Croatia","Age reached during the year","Total","Number","Females","5,400",""
"2009","Italy","Age reached during the year","Total","Number","Total","442,940",""
"2009","Italy","Age reached during the year","Total","Number","Males","201,974",""
"2009","Italy","Age reached during the year","Total","Number","Females","240,966",""
"2009","Cyprus","Age reached during the year","Total","Number","Total","22,581","b"
"2009","Cyprus","Age reached during the year","Total","Number","Males","9,555","b"
"2009","Cyprus","Age reached during the year","Total","Number","Females","13,026","b"
"2009","Latvia","Age reached during the year","Total","Number","Total","3,731",""
"2009","Latvia","Age reached during the year","Total","Number","Males","2,065",""
"2009","Latvia","Age reached during the year","Total","Number","Females","1,666",""
"2009","Lithuania","Age reached during the year","Total","Number","Total","6,487",""
"2009","Lithuania","Age reached during the year","Total","Number","Males","3,357",""
"2009","Lithuania","Age reached during the year","Total","Number","Females","3,130",""
"2009","Luxembourg","Age reached during the year","Total","Number","Total","15,751",""
"2009","Luxembourg","Age reached during the year","Total","Number","Males","8,487",""
"2009","Luxembourg","Age reached during the year","Total","Number","Females","7,264",""
"2009","Hungary","Age reached during the year","Total","Number","Total","27,894",""
"2009","Hungary","Age reached during the year","Total","Number","Males","15,739",""
"2009","Hungary","Age reached during the year","Total","Number","Females","12,155",""
"2009","Malta","Age reached during the year","Total","Number","Total","6,161",""
"2009","Malta","Age reached during the year","Total","Number","Males","3,654",""
"2009","Malta","Age reached during the year","Total","Number","Females","2,507",""
"2009","Netherlands","Age reached during the year","Total","Number","Total","122,917","b"
"2009","Netherlands","Age reached during the year","Total","Number","Males","63,321","b"
"2009","Netherlands","Age reached during the year","Total","Number","Females","59,596","b"
"2009","Austria","Age reached during the year","Total","Number","Total","69,295",""
"2009","Austria","Age reached during the year","Total","Number","Males","36,276",""
"2009","Austria","Age reached during the year","Total","Number","Females","33,019",""
"2009","Poland","Age reached during the year","Total","Number","Total","189,166","b"
"2009","Poland","Age reached during the year","Total","Number","Males","130,381","b"
"2009","Poland","Age reached during the year","Total","Number","Females","58,785","b"
"2009","Portugal","Age reached during the year","Total","Number","Total","32,307",""
"2009","Portugal","Age reached during the year","Total","Number","Males","13,462",""
"2009","Portugal","Age reached during the year","Total","Number","Females","18,845",""
"2009","Romania","Age reached during the year","Total","Number","Total","135,844",""
"2009","Romania","Age reached during the year","Total","Number","Males","79,398",""
"2009","Romania","Age reached during the year","Total","Number","Females","56,446",""
"2009","Slovenia","Age reached during the year","Total","Number","Total","30,296",""
"2009","Slovenia","Age reached during the year","Total","Number","Males","22,973",""
"2009","Slovenia","Age reached during the year","Total","Number","Females","7,323",""
"2009","Slovakia","Age reached during the year","Total","Number","Total","6,346",""
"2009","Slovakia","Age reached during the year","Total","Number","Males","3,970",""
"2009","Slovakia","Age reached during the year","Total","Number","Females","2,376",""
"2009","Finland","Age reached during the year","Total","Number","Total","26,699",""
"2009","Finland","Age reached during the year","Total","Number","Males","13,946",""
"2009","Finland","Age reached during the year","Total","Number","Females","12,753",""
"2009","Sweden","Age reached during the year","Total","Number","Total","102,280",""
"2009","Sweden","Age reached during the year","Total","Number","Males","52,982",""
"2009","Sweden","Age reached during the year","Total","Number","Females","49,298",""
"2009","Iceland","Age reached during the year","Total","Number","Total","3,921","b"
"2009","Iceland","Age reached during the year","Total","Number","Males","1,990","b"
"2009","Iceland","Age reached during the year","Total","Number","Females","1,931","b"
"2009","Liechtenstein","Age reached during the year","Total","Number","Total","584",""
"2009","Liechtenstein","Age reached during the year","Total","Number","Males","294",""
"2009","Liechtenstein","Age reached during the year","Total","Number","Females","290",""
"2009","Norway","Age reached during the year","Total","Number","Total","55,953",""
"2009","Norway","Age reached during the year","Total","Number","Males","29,725",""
"2009","Norway","Age reached during the year","Total","Number","Females","26,228",""
"2009","Switzerland","Age reached during the year","Total","Number","Total","160,623",""
"2009","Switzerland","Age reached during the year","Total","Number","Males","84,499",""
"2009","Switzerland","Age reached during the year","Total","Number","Females","76,124",""
"2009","United Kingdom","Age reached during the year","Total","Number","Total","566,514",""
"2009","United Kingdom","Age reached during the year","Total","Number","Males","304,867",""
"2009","United Kingdom","Age reached during the year","Total","Number","Females","261,647",""
"2009","Montenegro","Age reached during the year","Total","Number","Total",":",""
"2009","Montenegro","Age reached during the year","Total","Number","Males",":",""
"2009","Montenegro","Age reached during the year","Total","Number","Females",":",""
"2009","North Macedonia","Age reached during the year","Total","Number","Total","857",""
"2009","North Macedonia","Age reached during the year","Total","Number","Males","409",""
"2009","North Macedonia","Age reached during the year","Total","Number","Females","448",""
"2010","Belgium","Age reached during the year","Total","Number","Total","135,281","b"
"2010","Belgium","Age reached during the year","Total","Number","Males","70,909","b"
"2010","Belgium","Age reached during the year","Total","Number","Females","64,372","b"
"2010","Bulgaria","Age reached during the year","Total","Number","Total",":",""
"2010","Bulgaria","Age reached during the year","Total","Number","Males",":",""
"2010","Bulgaria","Age reached during the year","Total","Number","Females",":",""
"2010","Czechia","Age reached during the year","Total","Number","Total","48,317",""
"2010","Czechia","Age reached during the year","Total","Number","Males","25,768",""
"2010","Czechia","Age reached during the year","Total","Number","Females","22,549",""
"2010","Denmark","Age reached during the year","Total","Number","Total","52,236",""
"2010","Denmark","Age reached during the year","Total","Number","Males","26,386",""
"2010","Denmark","Age reached during the year","Total","Number","Females","25,850",""
"2010","Germany (until 1990 former territory of the FRG)","Age reached during the year","Total","Number","Total","404,055",""
"2010","Germany (until 1990 former territory of the FRG)","Age reached during the year","Total","Number","Males","222,884",""
